y_true,Ensemble
0,0.0
1,0.0
1,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,0.0
0,0.0
1,0.0
1,0.0
1,0.0
0,0.0
1,0.0
1,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,0.0
0,0.0
1,0.0
1,0.0
1,0.0
0,0.0
0,0.0
1,0.0
1,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
0,0.0
1,0.0
1,0.0
0,0.0
0,0.0
1,0.0
0,0.0
0,0.0
1,0.0
1,0.0
1,0.0
1,0.0
0,0.0
0,0.0
1,0.0
0,0.0
0,0.0
1,0.0
1,0.0
1,0.0
0,0.0
1,0.0
1,0.0
1,0.0
0,0.0
1,0.5786809755153605
1,0.6780182439088762
1,0.5629470151933521
1,0.3706958182604353
1,0.4060525062740237
1,0.685390707175932
0,0.5019650144067309
0,0.5163764529700492
1,0.5001296736756934
1,0.6693065417391062
0,0.544616631239143
0,0.5647868716799495
1,0.5808755880030609
1,0.743779053172859
0,0.4054945528508471
0,0.4102426751302392
0,0.4301361199073593
0,0.6124565234744659
0,0.3499477329906451
1,0.6918327115047885
0,0.372857536535561
1,0.3759666445005434
